,Rank,movie_title,year,star_cast,Rating,votes,link
0,1,Nayakan,1987,"Mani Ratnam (dir.), Kamal Haasan, Saranya Ponvannan",8.489239530439171,17701,https://www.imdb.com/title/tt0093603/
1,2,Pariyerum Perumal,2018,"Mari Selvaraj (dir.), Kathir, Anandhi",8.480990363193408,11424,https://www.imdb.com/title/tt8176054/
2,3,Anbe Sivam,2003,"Sundar C. (dir.), Kamal Haasan, Madhavan",8.476807868472722,18329,https://www.imdb.com/title/tt0367495/
3,4,Pather Panchali,1955,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",8.46933283414155,26526,https://www.imdb.com/title/tt0048473/
4,5,Hanky Panky,1979,"Hrishikesh Mukherjee (dir.), Amol Palekar, Bindiya Goswami",8.465777877048525,18452,https://www.imdb.com/title/tt0079221/
5,6,C/o Kancharapalem,2018,"Venkatesh Maha (dir.), Radha Bessy, Subba Rao Vepada",8.463281671895373,5573,https://www.imdb.com/title/tt7391996/
6,7,The World of Apu,1959,"Satyajit Ray (dir.), Soumitra Chatterjee, Sharmila Tagore",8.460607355683095,12979,https://www.imdb.com/title/tt0052572/
7,8,Kireedam,1989,"Sibi Malayil (dir.), Mohanlal, Thilakan",8.449045698106286,6771,https://www.imdb.com/title/tt0237376/
8,9,Manichitrathazhu,1993,"Fazil (dir.), Mohanlal, Shobana",8.44711278695634,9471,https://www.imdb.com/title/tt0214915/
9,1, Natsamrat,2016,"Mahesh Manjrekar (dir.), Nana Patekar, Medha Manjrekar",8.434729216472284,5906,https://www.imdb.com/title/tt5311546/
10,11,96,2018,"C. Prem Kumar (dir.), Vijay Sethupathi, Adithya Bhaskar",8.424232617678426,22900,https://www.imdb.com/title/tt7019842/
11,12,Thevar Magan,1992,"Bharathan (dir.), Kamal Haasan, Shivaji Ganesan",8.411436036264087,6120,https://www.imdb.com/title/tt0105575/
12,13,Black Friday,2004,"Anurag Kashyap (dir.), Kay Kay Menon, Pawan Malhotra",8.411257752414928,19604,https://www.imdb.com/title/tt0400234/
13,14,Kumbalangi Nights,2019,"Madhu C. Narayanan (dir.), Shane Nigam, Soubin Shahir",8.3996961134555,11263,https://www.imdb.com/title/tt8413338/
14,15,Drishyam 2,2021,"Jeethu Joseph (dir.), Mohanlal, Meena",8.35564862091259,28461,https://www.imdb.com/title/tt12361178/
15,16,Visaaranai,2015,"Vetrimaaran (dir.), Dinesh, Samuthirakani",8.352500943879587,8973,https://www.imdb.com/title/tt4991384/
16,17,3 Idiots,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.349891353108898,360286,https://www.imdb.com/title/tt1187043/
17,18,Jersey,2019,"Gowtam Tinnanuri (dir.), Nani, Shraddha Srinath",8.331545293690048,10924,https://www.imdb.com/title/tt8948790/
18,19,Like Stars on Earth,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.331197683036306,176915,https://www.imdb.com/title/tt0986264/
19,20,Soorarai Pottru,2020,"Sudha Kongara (dir.), Madhavan, Suriya",8.32994674651241,84802,https://www.imdb.com/title/tt10189514/
20,21,Thalapathi,1991,"Mani Ratnam (dir.), Rajinikanth, Mammootty",8.308848927606384,10936,https://www.imdb.com/title/tt0101649/
21,22,Dangal,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.300769142960622,166591,https://www.imdb.com/title/tt5074352/
22,23,Raatchasan,2018,"Ram Kumar (dir.), Vishnu Vishal, Amala Paul",8.300417867485987,32095,https://www.imdb.com/title/tt7060344/
23,24,Asuran,2019,"Vetrimaaran (dir.), Dhanush, Manju Warrier",8.299821164938026,17962,https://www.imdb.com/title/tt9477520/
24,25,Kaithi,2019,"Lokesh Kanagaraj (dir.), Karthi, Narain",8.294785161416218,16175,https://www.imdb.com/title/tt9900782/
25,26,Devasuram,1993,"I.V. Sasi (dir.), Mohanlal, Revathi",8.28966414390202,5167,https://www.imdb.com/title/tt0291855/
26,27,Aparajito,1956,"Satyajit Ray (dir.), Pinaki Sengupta, Smaran Ghosal",8.281589993277628,12557,https://www.imdb.com/title/tt0048956/
27,28,Jaane Bhi Do Yaaro,1983,"Kundan Shah (dir.), Naseeruddin Shah, Ravi Baswani",8.274833134599413,13510,https://www.imdb.com/title/tt0085743/
28,29,Pyaasa,1957,"Guru Dutt (dir.), Guru Dutt, Waheeda Rehman",8.26428861412561,5876,https://www.imdb.com/title/tt0050870/
29,30,Peranbu,2018,"Ram (dir.), Mammootty, Sadhana",8.26411137835771,13857,https://www.imdb.com/title/tt7738784/
30,31,Vada Chennai,2018,"Vetrimaaran (dir.), Dhanush, Ameer Sultan",8.259278078198394,13494,https://www.imdb.com/title/tt5959980/
31,32,Guide,1965,"Vijay Anand (dir.), Dev Anand, Waheeda Rehman",8.257093597606518,7656,https://www.imdb.com/title/tt0059246/
32,33,Thani Oruvan,2015,"Mohan Raja (dir.), Jayam Ravi, Arvind Swamy",8.252283398494288,17905,https://www.imdb.com/title/tt4987556/
33,34,A Peck on the Cheek,2002,"Mani Ratnam (dir.), Madhavan, Simran",8.246992282277525,7860,https://www.imdb.com/title/tt0312859/
34,35,Chupke Chupke,1975,"Hrishikesh Mukherjee (dir.), Dharmendra, Sharmila Tagore",8.23702246523183,11968,https://www.imdb.com/title/tt0072783/
35,36,Iruvar,1997,"Mani Ratnam (dir.), Mohanlal, Prakash Raj",8.23546128655998,5422,https://www.imdb.com/title/tt0119385/
36,37,Spadikam,1995,"Bhadran (dir.), Mohanlal, Thilakan",8.234546344278009,5176,https://www.imdb.com/title/tt0292246/
37,38,Agent Sai Srinivasa Athreya,2019,"Swaroop Rsj (dir.), Naveen Polishetty, Shruti Sharma",8.230352687882796,10427,https://www.imdb.com/title/tt10214826/
38,39,Super Deluxe,2019,"Thiagarajan Kumararaja (dir.), Vijay Sethupathi, Samantha Akkineni",8.226737106311978,11641,https://www.imdb.com/title/tt7019942/
39,40,Drishyam,2013,"Jeethu Joseph (dir.), Mohanlal, Meena",8.2156054350614,36873,https://www.imdb.com/title/tt3417422/
40,41,Mahanati,2018,"Nag Ashwin (dir.), Keerthy Suresh, Dulquer Salmaan",8.21414393399304,10634,https://www.imdb.com/title/tt7465992/
41,42,Aruvi,2016,"Arun Prabhu Purushothaman (dir.), Aditi Balan, Padmashri Mohammad Ali",8.212977550830196,11876,https://www.imdb.com/title/tt5867800/
42,43,Vikram Vedha,2017,"Gayatri (dir.), Madhavan, Vijay Sethupathi",8.211779952672025,31910,https://www.imdb.com/title/tt6148156/
43,44,Tumbbad,2018,"Rahi Anil Barve (dir.), Sohum Shah, Jyoti Malshe",8.205764166499701,34128,https://www.imdb.com/title/tt8239946/
44,45,Khosla Ka Ghosla!,2006,"Dibakar Banerjee (dir.), Anupam Kher, Boman Irani",8.205747661288694,22816,https://www.imdb.com/title/tt0466460/
45,46,Pudhu Pettai,2006,"K. Selvaraghavan (dir.), Dhanush, Sneha",8.193864228300283,5577,https://www.imdb.com/title/tt0459516/
46,47,Premam,2015,"Alphonse Puthren (dir.), Nivin Pauly, Sai Pallavi",8.183768651696534,18580,https://www.imdb.com/title/tt4679210/
47,48,Anniyan,2005,"S. Shankar (dir.), Vikram, Sada",8.178165456878677,15823,https://www.imdb.com/title/tt0376127/
48,49,Anand,1971,"Hrishikesh Mukherjee (dir.), Rajesh Khanna, Amitabh Bachchan",8.177249357888622,32080,https://www.imdb.com/title/tt0066763/
49,50,Mudhalvan,1999,"S. Shankar (dir.), Arjun Sarja, Manisha Koirala",8.172288465021964,7014,https://www.imdb.com/title/tt0220656/
50,51,Kaakkaa Muttai,2014,"M. Manikandan (dir.), Ramesh, J. Vignesh",8.17208893451385,6249,https://www.imdb.com/title/tt3973410/
51,52,Bangalore Days,2014,"Anjali Menon (dir.), Nazriya Nazim, Nivin Pauly",8.171496956291435,17906,https://www.imdb.com/title/tt3668162/
52,53,Dhuruvangal Pathinaaru,2016,"Karthick Naren (dir.), Rahman, Prakash Raghavan",8.169036532974388,13782,https://www.imdb.com/title/tt6380520/
53,54,Satya,1998,"Ram Gopal Varma (dir.), J.D. Chakravarthi, Manoj Bajpayee",8.168698756962572,14072,https://www.imdb.com/title/tt0195231/
54,55,Andhadhun,2018,"Sriram Raghavan (dir.), Ayushmann Khurrana, Tabu",8.168484678180782,79057,https://www.imdb.com/title/tt8108198/
55,56,Papanasam,2015,"Jeethu Joseph (dir.), Kamal Haasan, Gautami",8.167826149040037,6568,https://www.imdb.com/title/tt4429128/
56,57,Soodhu Kavvum,2013,"Nalan Kumarasamy (dir.), Vijay Sethupathi, Sanchita Shetty",8.161290636577352,9582,https://www.imdb.com/title/tt2877108/
57,58,Shahid,2012,"Hansal Mehta (dir.), Rajkummar Rao, Prabhleen Sandhu",8.158790044047382,15791,https://www.imdb.com/title/tt2181831/
58,59,Jigarthanda,2014,"Karthik Subbaraj (dir.), Siddharth, Bobby Simha",8.146603557618452,10913,https://www.imdb.com/title/tt3569782/
59,60,Pithamagan,2003,"Bala (dir.), Vikram, Suriya",8.144840352529089,5967,https://www.imdb.com/title/tt0376076/
60,61,Gangs of Wasseypur,2012,"Anurag Kashyap (dir.), Manoj Bajpayee, Richa Chadha",8.139758103404791,87242,https://www.imdb.com/title/tt1954470/
61,62,Paan Singh Tomar,2012,"Tigmanshu Dhulia (dir.), Irrfan Khan, Mahie Gill",8.132770220870489,34350,https://www.imdb.com/title/tt1620933/
62,63,Sairat,2016,"Nagraj Manjule (dir.), Rinku Rajguru, Akash Thosar",8.1295639956503,11924,https://www.imdb.com/title/tt5312232/
63,64,Bhaag Milkha Bhaag,2013,"Rakeysh Omprakash Mehra (dir.), Farhan Akhtar, Sonam Kapoor",8.127824521070593,63313,https://www.imdb.com/title/tt2356180/
64,65,Hera Pheri,2000,"Priyadarshan (dir.), Akshay Kumar, Sunil Shetty",8.127248805577834,60005,https://www.imdb.com/title/tt0242519/
65,66,Talvar,2015,"Meghna Gulzar (dir.), Irrfan Khan, Konkona Sen Sharma",8.122007119667119,32550,https://www.imdb.com/title/tt4934950/
66,67,Swades,2004,"Ashutosh Gowariker (dir.), Shah Rukh Khan, Gayatri Joshi",8.11753585490456,85696,https://www.imdb.com/title/tt0367110/
67,68,Sholay,1975,"Ramesh Sippy (dir.), Sanjeev Kumar, Dharmendra",8.116081950025578,52725,https://www.imdb.com/title/tt0073707/
68,69,Ustad Hotel,2012,"Anwar Rasheed (dir.), Dulquer Salmaan, Thilakan",8.114685686392386,12750,https://www.imdb.com/title/tt2218988/
69,70,Chak De! India,2007,"Shimit Amin (dir.), Shah Rukh Khan, Vidya Malvade",8.113377846891613,76115,https://www.imdb.com/title/tt0871510/
70,71,Black,2005,"Sanjay Leela Bhansali (dir.), Amitabh Bachchan, Rani Mukerji",8.11329225256744,33866,https://www.imdb.com/title/tt0375611/
71,72,Jo Jeeta Wohi Sikandar,1992,"Mansoor Khan (dir.), Aamir Khan, Ayesha Jhulka",8.110564564170113,22234,https://www.imdb.com/title/tt0104561/
72,73,Mughal-E-Azam,1960,"K. Asif (dir.), Prithviraj Kapoor, Madhubala",8.109117422427449,7624,https://www.imdb.com/title/tt0054098/
73,74,Zindagi Na Milegi Dobara,2011,"Zoya Akhtar (dir.), Hrithik Roshan, Farhan Akhtar",8.106791884977772,70934,https://www.imdb.com/title/tt1562872/
74,75,Drishyam,2015,"Nishikant Kamat (dir.), Ajay Devgn, Shriya Saran",8.106740022586946,74855,https://www.imdb.com/title/tt4430212/
75,76,Maheshinte Prathikaaram,2016,"Dileesh Pothan (dir.), Fahadh Faasil, Aparna Balamurali",8.106193129577756,7624,https://www.imdb.com/title/tt4851630/
76,77,Nil Battey Sannata,2015,"Ashwiny Iyer Tiwari (dir.), Swara Bhaskar, Ratna Pathak Shah",8.105543219822348,6140,https://www.imdb.com/title/tt5005684/
77,78,Article 15,2019,"Anubhav Sinha (dir.), Ayushmann Khurrana, Nassar",8.100918791284228,26174,https://www.imdb.com/title/tt10324144/
78,79,Theeran Adhigaram Ondru,2017,"H. Vinoth (dir.), Karthi, Rakul Preet Singh",8.100624800638373,11817,https://www.imdb.com/title/tt7060460/
79,80,Udaan,2010,"Vikramaditya Motwane (dir.), Rajat Barmecha, Ronit Roy",8.100544215574946,43342,https://www.imdb.com/title/tt1639426/
80,81,Charulata,1964,"Satyajit Ray (dir.), Soumitra Chatterjee, Madhabi Mukherjee",8.10049564133584,5605,https://www.imdb.com/title/tt0057935/
81,82,A Wednesday,2008,"Neeraj Pandey (dir.), Anupam Kher, Naseeruddin Shah",8.098739849084794,75358,https://www.imdb.com/title/tt1280558/
82,83,Queen,2013,"Vikas Bahl (dir.), Kangana Ranaut, Rajkummar Rao",8.093733471653076,62072,https://www.imdb.com/title/tt3322420/
83,84,Masaan,2015,"Neeraj Ghaywan (dir.), Richa Chadha, Sanjay Mishra",8.093554823359128,25125,https://www.imdb.com/title/tt4635372/
84,85,Alai Payuthey,2000,"Mani Ratnam (dir.), Madhavan, Shalini",8.092051111051157,5797,https://www.imdb.com/title/tt0242256/
85,86,Sarfarosh,1999,"John Mathew Matthan (dir.), Aamir Khan, Naseeruddin Shah",8.090750931227356,24547,https://www.imdb.com/title/tt0200087/
86,87,Munna Bhai MBBS,2003,"Rajkumar Hirani (dir.), Sanjay Dutt, Arshad Warsi",8.089994107054821,76226,https://www.imdb.com/title/tt0374887/
87,88,Baasha,1995,"Suresh Krishna (dir.), Rajinikanth, Nagma",8.087851432929403,9461,https://www.imdb.com/title/tt0139876/
88,89,Dil Chahta Hai,2001,"Farhan Akhtar (dir.), Aamir Khan, Saif Ali Khan",8.084526320361038,68468,https://www.imdb.com/title/tt0292490/
89,90,Roja,1992,"Mani Ratnam (dir.), Arvind Swamy, Madhoo",8.084461883166183,12201,https://www.imdb.com/title/tt0105271/
90,91,Chhichhore,2019,"Nitesh Tiwari (dir.), Sushant Singh Rajput, Shraddha Kapoor",8.083350427972443,39516,https://www.imdb.com/title/tt9052870/
91,92,OMG: Oh My God!,2012,"Umesh Shukla (dir.), Paresh Rawal, Akshay Kumar",8.083022795618199,53803,https://www.imdb.com/title/tt2283748/
92,93,Rang De Basanti,2006,"Rakeysh Omprakash Mehra (dir.), Aamir Khan, Soha Ali Khan",8.08053578992195,114818,https://www.imdb.com/title/tt0405508/
93,94,Virumandi,2004,"Kamal Haasan (dir.), Kamal Haasan, Abhirami",8.073212777405905,5275,https://www.imdb.com/title/tt0364647/
94,95,Lagaan: Once Upon a Time in India,2001,"Ashutosh Gowariker (dir.), Aamir Khan, Raghuvir Yadav",8.072228297593954,107668,https://www.imdb.com/title/tt0169102/
95,96,Kahaani,2012,"Sujoy Ghosh (dir.), Vidya Balan, Parambrata Chattopadhyay",8.070913716860142,59374,https://www.imdb.com/title/tt1821480/
96,97,Andaz Apna Apna,1994,"Rajkumar Santoshi (dir.), Aamir Khan, Salman Khan",8.068552894834358,51025,https://www.imdb.com/title/tt0109117/
97,98,Uri: The Surgical Strike,2018,"Aditya Dhar (dir.), Vicky Kaushal, Paresh Rawal",8.067948971542743,46662,https://www.imdb.com/title/tt8291224/
98,99,PK,2014,"Rajkumar Hirani (dir.), Aamir Khan, Anushka Sharma",8.063834265190616,169073,https://www.imdb.com/title/tt2338151/
99,10, Lucia,2013,"Pawan Kumar (dir.), Sathish Neenasam, Sruthi Hariharan",8.054580943373043,11774,https://www.imdb.com/title/tt2358592/
100,101,Iqbal,2005,"Nagesh Kukunoor (dir.), Shreyas Talpade, Naseeruddin Shah",8.05392629636,16259,https://www.imdb.com/title/tt0453729/
101,102,The Legend of Bhagat Singh,2002,"Rajkumar Santoshi (dir.), Ajay Devgn, Sushant Singh",8.051811384824095,15318,https://www.imdb.com/title/tt0319736/
102,103,Bommarillu,2006,"Bommarillu Baskar (dir.), Siddharth, Genelia D'Souza",8.050291138546973,8934,https://www.imdb.com/title/tt0843326/
103,104,Barfi!,2012,"Anurag Basu (dir.), Ranbir Kapoor, Priyanka Chopra Jonas",8.049660642595645,77704,https://www.imdb.com/title/tt2082197/
104,105,Pink,2016,"Aniruddha Roy Chowdhury (dir.), Taapsee Pannu, Amitabh Bachchan",8.04407932106652,41330,https://www.imdb.com/title/tt5571734/
105,106,Bombay,1995,"Mani Ratnam (dir.), Arvind Swamy, Manisha Koirala",8.038738564508709,11837,https://www.imdb.com/title/tt0112553/
106,107,Maqbool,2003,"Vishal Bhardwaj (dir.), Irrfan Khan, Tabu",8.03815704712326,10108,https://www.imdb.com/title/tt0379370/
107,108,Section 375,2019,"Ajay Bahl (dir.), Akshaye Khanna, Richa Chadha",8.0367799219296,13352,https://www.imdb.com/title/tt8144834/
108,109,Omkara,2006,"Vishal Bhardwaj (dir.), Ajay Devgn, Kareena Kapoor",8.031899250081226,19728,https://www.imdb.com/title/tt0488414/
109,110,Indian,1996,"S. Shankar (dir.), Kamal Haasan, Sukanya",8.029111129537478,11426,https://www.imdb.com/title/tt0116630/
110,111,The Great Indian Kitchen,2021,"Jeo Baby (dir.), Nimisha Sajayan, Suraj Venjaramoodu",8.019539900944757,5840,https://www.imdb.com/title/tt13299890/
111,112,Lage Raho Munna Bhai,2006,"Rajkumar Hirani (dir.), Sanjay Dutt, Arshad Warsi",8.018284082922882,44309,https://www.imdb.com/title/tt0456144/
112,113,Thadam,2019,"Magizh Thirumeni (dir.), Arun Vijay, Tanya Hope",8.009934711534735,5896,https://www.imdb.com/title/tt7822438/
113,114,Pelli Choopulu,2016,"Tharun Bhascker Dhaassyam (dir.), Abhay Bethiganti, Keshav Deepak",8.008999386074263,6453,https://www.imdb.com/title/tt5824826/
114,115,Baahubali 2: The Conclusion,2017,"S.S. Rajamouli (dir.), Prabhas, Rana Daggubati",8.007455294518202,79169,https://www.imdb.com/title/tt4849438/
115,116,Deewaar,1975,"Yash Chopra (dir.), Amitabh Bachchan, Shashi Kapoor",8.00497614786286,10402,https://www.imdb.com/title/tt0072860/
116,117,Pranchiyettan and the Saint,2010,"Ranjith (dir.), Jesse Fox Allen, Innocent",8.00188633702452,5220,https://www.imdb.com/title/tt1695800/
117,118,Naduvula Konjam Pakkatha Kaanom,2012,"Balaji Tharaneetharan (dir.), Vijay Sethupathi, Gayathrie",7.995615864434328,5325,https://www.imdb.com/title/tt2564144/
118,119,Gulaal,2009,"Anurag Kashyap (dir.), Kay Kay Menon, Raj Singh Chaudhary",7.993706468589579,14293,https://www.imdb.com/title/tt1261047/
119,120,Padosan,1968,"Jyoti Swaroop (dir.), Sunil Dutt, Saira Banu",7.993304450200763,6480,https://www.imdb.com/title/tt0063404/
120,121,Athadu,2005,"Trivikram Srinivas (dir.), Mahesh Babu, Trisha Krishnan",7.990820907837516,12591,https://www.imdb.com/title/tt0471571/
121,122,Rangasthalam 1985,2018,"Sukumar (dir.), Ram Charan, Samantha Akkineni",7.9885502480864785,20293,https://www.imdb.com/title/tt7392212/
122,123,Haider,2014,"Vishal Bhardwaj (dir.), Shahid Kapoor, Tabu",7.988002538801287,51591,https://www.imdb.com/title/tt3390572/
123,124,Dilwale Dulhania Le Jayenge,1995,"Aditya Chopra (dir.), Shah Rukh Khan, Kajol",7.987260708109668,65459,https://www.imdb.com/title/tt0112870/
124,125,Take Off,2017,"Mahesh Naryanan (dir.), Parvathy Thiruvothu, Fahadh Faasil",7.977003356046611,5438,https://www.imdb.com/title/tt6315524/
125,126,Thondi Muthalum Driksakshiyum,2017,"Dileesh Pothan (dir.), Fahadh Faasil, Suraj Venjaramoodu",7.973489913868446,5341,https://www.imdb.com/title/tt5906392/
